"Ctrl_0"	"Ctrl_1"	"Ctrl_2"	"Ctrl_3"	"TollLPS_0"	"TollLPS_1"	"TollLPS_2"	"TollLPS_3"	"TollMRP8_0"	"TollMRP8_1"	"TollMRP8_2"	"TollMRP8_3"	"ActLPS_0"	"ActLPS_1"	"ActLPS_2"	"ActLPS_3"
"BAG3"	34254.709049128	93466.7566558346	49500.489467755	97112.5693526119	284026.256715879	119522.504741326	101940.144132823	218759.649712592	221489.20209147	168032.964970917	202953.591849655	120956.718036905	308868.723362684	362574.730953202	322241.536201909	300454.337731935
"BAG4"	86452.5783574209	25872.1801452339	83081.1189487576	71541.4978098124	247227.320820093	236215.658625588	105307.222437114	153534.851036966	106333.749601617	207999.301096424	102807.204378769	254768.393235281	367186.784301884	392897.967644967	396307.114535011	395055.395830423
"BAG5"	29086.9043907151	64897.6980242878	32217.7147027105	81907.724076882	155116.700939834	273166.818590835	102330.926200375	136554.048582911	140499.98014234	125746.996095404	294219.683203846	190378.506248817	388055.485207587	312987.165316008	355662.052961998	399892.880115658
"BAG6"	67403.6395503208	52072.4294707179	11502.7679130435	7218.61701458693	276913.461601362	107206.74446784	151528.912037611	170402.677729726	239612.664515153	244140.018010512	283873.955160379	236301.275715232	315198.234957643	310142.990527675	345818.295143545	377692.373818718
"BAGE"	64014.3524389714	49398.7719062716	14094.4834565744	1787.42110729218	120459.818234667	125386.054627597	292229.220597073	278673.441847786	295494.814636186	233618.666650727	179567.26308912	121826.587198302	364169.18032337	361254.258290865	333313.781325705	383055.73114194
"BAGE2"	43515.2452206239	41601.443849504	82535.3798922151	89202.2586427629	235161.213995889	198222.483415157	232125.544827431	285335.833951831	299942.81786494	287177.487369627	155183.35159868	295260.676601902	322085.908218287	389254.405698739	325256.615853868	342343.762586825
"BAGE4"	27221.5286269784	70036.502671428	37689.7619804367	72587.6052165404	172174.6572759	297821.400221437	166878.900304437	130907.499557361	153045.035060495	192454.239213839	193204.819969833	261575.005296618	384754.589106888	357854.00099121	305154.19524163	345679.634879343
"BAGE5"	41432.4779994786	39302.5501165539	29965.2549205348	83456.364297308	127035.985887051	274028.217233717	138991.644559428	246787.153556943	205716.833146289	283238.1922286	127010.14704071	153466.073842719	314461.071696132	378820.262127556	319992.10389331	375171.37019895
"BAHCC1"	87271.179491654	46698.5409148037	25402.2453678772	49432.4651779607	208330.397680402	211667.262623087	173717.778315768	161110.069882125	179401.970701292	169975.907122716	233559.990627691	185917.118564248	398778.7068123	301814.326178282	346907.359664328	375977.293029428
"BAHD1"	91611.8953144178	58738.4478189051	21747.828531079	6514.61081579328	219645.303301513	254673.589579761	116140.156984329	228091.723751277	233764.61211592	191310.464963317	216272.141737863	253342.122817412	316578.051028773	322458.05026032	391612.984100357	304135.593934916
"BAI1"	49508.170504123	32647.5641224533	14041.2749256939	85540.1939945295	219204.94553633	211311.00798957	297618.541447446	272166.65269807	257527.276454493	222285.101376474	218972.446303815	124030.959419906	328892.034036107	338243.612041697	327583.867660724	391458.239662461
"BAI2"	94749.032985419	99511.6964215413	39427.056373097	599.605217576027	229593.242239207	190634.633041918	299726.904416457	134501.477982849	254362.173518166	184635.509550571	265945.979766548	212668.405054137	370194.482430816	325538.822473027	384192.276163958	330364.796076901
"BAI3"	1948.28712847084	63887.6976445317	97284.2396469787	29294.7251116857	285520.268464461	146128.464583308	225594.861712307	249219.688214362	113528.106082231	299444.633862004	238416.886655614	286887.258803472	381167.774274945	312401.455477811	321681.597502902	317977.524455637
"BAIAP2"	95006.3688447699	88557.2148952633	68044.5653153583	44794.821809046	122088.662581518	278475.260781124	214476.591721177	245321.574760601	239037.938369438	299900.196958333	112569.127557799	100644.01444979	348896.4517368	304377.447091974	375350.259896368	376034.975331277
"BAIAP2-AS1"	55102.4060463533	11332.1319455281	15137.5073706731	85997.4256716669	232040.32080248	151206.653611735	138412.341009825	295464.212633669	169940.956681967	244124.025618657	257656.37033619	237883.629929274	317540.138633922	306149.796349928	351146.979094483	393523.316038772
"BAIAP2L1"	64826.9714321941	73990.7328505069	60933.4495849907	22139.6675799042	238896.372402087	134134.389832616	234190.433099866	260283.366823569	191811.311291531	149593.146145344	209830.192802474	222996.672429144	317933.375155553	326128.933043219	369059.771718457	330987.313226797
"BAIAP2L2"	83703.1546514481	44697.9970671237	69316.9482750818	32675.3362547606	249654.825823382	165371.29804492	152042.89262183	184477.867744863	116123.883100227	242114.65488188	251313.215401024	267711.71875298	379322.605789639	343404.992902651	398880.883958191	382535.984599963
"BAIAP3"	18538.1401563063	59835.5097929016	73607.7873269096	98608.2017188892	129095.622384921	184107.355168089	197372.344369069	125547.868385911	294933.758163825	121128.736948594	273082.877229899	126857.925765216	353836.957598105	353646.181593649	324499.476561323	396544.836624525
"BAK1"	44872.9788418859	86458.0422407016	23148.6096745357	83887.0307430625	215925.216767937	131249.802000821	192651.229724288	140090.772742406	280121.709825471	219741.499284282	109684.954443946	190687.617613003	336103.382054716	369505.693018436	330327.995191328	323432.778846473
"BAMBI"	22700.1637686044	89934.5414480194	14621.2943363935	89342.0476699248	112542.461324483	249332.77699165	247815.029276535	276635.346049443	276104.45539467	275756.056327373	231799.210049212	285062.861489132	317369.061219506	337200.029706582	303551.334189251	381280.197063461
"BANCR"	61108.1194365397	19530.4684108123	65955.0838172436	94492.5595307723	172325.360914692	116205.544397235	132893.966510892	290022.228378803	132356.609264389	165410.87385267	150543.024903163	148549.448838457	338073.814660311	328971.730172634	379873.970034532	358689.612196758
"BANF1"	34118.6223551631	56035.7224661857	74241.8711539358	23633.0170417204	146387.443272397	235291.04986228	124496.733350679	271939.363749698	284079.226572067	283722.116798162	236932.068504393	205236.140079796	314923.861832358	300676.019722596	333569.23952233	322558.967256919
"BANF2"	37056.2115451321	47874.8807683587	44008.1385197118	85462.735989131	157554.314425215	112474.781228229	146465.757349506	276270.043756813	224578.682146966	189571.391744539	258534.763846546	204753.110604361	311491.693882272	340984.805091284	366327.661578543	372136.700339615
"BANK1"	47819.7236079723	4920.93714419752	55132.3929103091	56664.6614344791	283779.715653509	110549.17066358	176725.26165843	132931.811688468	227151.311561465	106388.869741932	211199.716711417	189823.210798204	358265.209337696	367186.894430779	326211.900450289	332283.234875649
"BANP"	97509.4971712679	31836.975296028	12972.7613413706	42028.9422152564	202161.725517362	210564.466007054	190060.483058915	222211.77238971	188139.866385609	143723.659403622	239842.247869819	241523.854294792	334777.661995031	307487.697107717	312003.774149343	323159.769247286
"BAP1"	56528.3927600831	51215.8033903688	47467.3698889092	86531.0780471191	140268.819825724	245204.361947253	104470.161069185	166454.366594553	169817.059068009	289863.917184994	192136.899521574	278355.096653104	361888.971901499	378239.117469639	321404.787478969	302184.207481332
"BARD1"	94378.7502823398	52159.7443148494	51414.4581509754	4918.47556550056	195250.904420391	115730.813890696	199358.211783692	181474.11281243	220794.59214583	118575.624516234	295364.357996732	243641.628185287	305241.046776064	330941.499653272	311683.02828446	397824.725182727
"BARHL1"	90976.2958530337	7457.96873234212	55317.5669396296	67486.057174392	133744.650101289	266447.410499677	193355.77506572	142865.870613605	113122.2916767	131099.215708673	209156.458871439	171910.999668762	380502.991285175	319164.897338487	328203.18127051	324938.35343048
"BARHL2"	50001.014675945	97872.4368847907	43515.9188229591	24837.5555267558	148344.528349116	120533.492369577	241518.403030932	143070.062063634	116665.732301772	209680.198505521	221659.145969898	181268.240325153	394884.842238389	336670.730751939	335798.002616502	308346.595661715
"BARX1"	17606.6901069134	9516.76636468619	8025.99377930164	23568.2162456214	123016.10535942	236035.254457965	219542.29590483	255682.250624523	114809.54089202	206098.557496443	151504.17983532	129436.442861333	359280.684916303	347146.373428404	314726.497395895	350597.584829666
"BARX2"	67967.8665474057	7960.1144650951	4438.44071123749	22660.323837772	108767.08352007	221697.094617411	168247.269419953	182662.230031565	279520.243778825	167730.564298108	149483.759421855	144109.141407534	311110.256495886	332569.320569746	330398.931005038	392370.101669803
"BASP1"	44204.4694907963	62894.0434195101	40102.563216351	96740.6096635386	241688.662394881	264354.208763689	233306.685881689	188725.068280473	183529.066527262	107199.509162456	189257.333893329	185573.882330209	341072.57456053	328695.073677227	364883.137634024	355707.980296575
"BASP1P1"	79007.9628350213	26064.4642170519	16852.4942360818	3042.46358573437	134634.009888396	179298.98952134	226542.868698016	245097.055472434	160423.738975078	299184.129759669	125105.633726344	124882.495123893	355776.384868659	308965.815464035	388102.627312765	358901.346335188
"BATF"	9003.17118503153	56597.0048541203	22023.1731422246	34411.0912410542	214969.21707876	196093.284385279	217008.686438203	146736.195264384	176256.450405344	120023.649046198	290359.032200649	237100.264523178	323196.023190394	370688.212290406	312857.566145249	355518.010398373
"BATF2"	40416.1215759814	24925.8063035086	67724.5687926188	17372.8879308328	134707.942837849	205573.819670826	154611.436324194	219786.770455539	119885.690324008	140821.666410193	239489.933103323	286474.742926657	363836.882379837	332251.934194937	393520.927615464	331956.260628067
"BATF3"	25655.1335565746	90403.3822705969	28347.0544498414	76614.4845169038	194551.919726655	202593.825431541	263079.460058361	202896.979823709	200678.370660171	254179.782234132	144642.703700811	230447.10541144	366286.220075563	353541.931160726	329156.889789738	301013.443153352
"BAX"	68243.2575384155	42390.7304881141	60524.6934108436	63145.4645423219	257628.924679011	110662.482399493	181305.807968602	190311.695681885	150583.955971524	130522.892950103	203644.846612588	180463.354242966	395734.668639489	369903.662148863	397420.933423564	382908.59607514
"BAZ1A"	35903.6542242393	81046.7392671853	10880.9589175507	59588.6565046385	104500.085161999	136961.375316605	176732.331840321	200827.89612934	194347.609486431	284973.69880788	129412.388848141	263314.476981759	338609.957159497	335430.626384914	397141.265147366	367096.266429871
"BAZ1B"	8354.70240563154	82326.1806042865	9963.59484270215	8499.90991409868	239436.739590019	270290.666166693	133017.857046798	241466.653300449	197226.824238896	108125.519240275	111014.277348295	240822.558151558	359827.644727193	312463.29867281	316265.092603862	354066.628101282
"BAZ2A"	50437.1431656182	90119.4002479315	89730.7735402137	88246.7017741874	192560.916161165	263632.908463478	250599.049311131	199015.463981777	212712.880643085	186754.055134952	246943.114884198	115743.512008339	381478.970381431	354649.046855047	319855.204271153	307065.264857374
"BAZ2B"	89205.7503107935	57517.73416996	54391.7365372181	52391.530200839	125184.654351324	270166.169758886	144416.612293571	251067.680912092	210959.487175569	144939.605984837	178317.577345297	260005.21783717	328448.444628157	313508.450658992	365514.640812762	360167.481424287
"BBC3"	861.156522296369	30077.0279485732	74989.0165170655	24041.0710452124	244663.103064522	296286.131348461	105762.207368389	174060.029443353	169331.9988437	193666.227161884	247455.809963867	159017.089800909	391322.846710682	318604.714586399	389137.645531446	362177.860201336
"BBIP1"	45818.6759147793	87363.1524853408	5907.00379107147	40227.3159706965	169840.522902086	202942.278748378	175583.083601668	268442.185083404	248794.247955084	271106.49086535	178113.115718588	118688.957905397	371136.311464943	306974.609056488	366692.12677516	390509.852417745
"BBOX1"	27398.2463171706	79059.5929138362	59024.7821062803	83959.0327115729	264752.701669931	234269.703645259	244724.673917517	171876.614307985	131927.689397708	192320.441780612	281511.389790103	203470.390336588	344828.61624565	360945.171490312	325549.674709328	361786.269769073
"BBS1"	76715.4994420707	79818.5224179178	64227.324584499	3660.88354494423	270843.845419586	207080.118497834	111708.579771221	206137.381028384	292255.020420998	298809.180641547	248338.706698269	285678.785387427	302832.7352833	381621.366762556	375418.854458258	398362.221219577
"BBS10"	26189.8134369403	58222.0747834072	77645.4679435119	29473.7474061549	299373.465450481	191949.376417324	133841.727441177	216875.014780089	272058.811318129	178479.442279786	257571.939332411	139976.893272251	343897.656374611	375991.113204509	371027.208678424	378923.543030396
"BBS12"	27063.548960723	85338.7006791309	34867.2769963741	30660.605779849	208113.018982112	261921.759927645	262905.230512843	249362.498195842	287213.494954631	194345.911080018	139422.700507566	157967.41489321	363249.192945659	371427.96292901	310450.129886158	392250.752984546
"BBS2"	62689.3714303151	92598.9889074117	8421.50314711034	65079.3493026868	243566.734017804	269908.617157489	214013.400720432	111442.405357957	155531.725566834	201475.511537865	272762.15213351	211092.139640823	341886.7043918	372281.688451767	353791.969665326	396664.067334495
"BBS4"	94229.9454240128	12950.009922497	89184.9375329912	23552.7991317213	286373.434402049	281280.073011294	154572.520079091	216529.028862715	113319.774903357	129477.360472083	138084.677234292	242440.808191895	338322.205538861	379986.174916849	358645.769185387	373563.711275347
"BBS5"	38847.0530509949	12310.9068255872	4124.87708963454	49644.1654628143	156616.7043522	294980.393117294	238575.815921649	273670.621449128	185452.536027879	162234.113831073	131631.955457851	261870.345938951	367719.52919662	348937.714379281	349412.970687263	349404.612090439
"BBS7"	75115.6965037808	92520.2267011628	85588.3352225646	27171.6666407883	105405.354453251	161411.274876446	128210.576856509	178977.988520637	181987.812882289	186516.742175445	104364.145128056	110911.099333316	315126.800280996	373233.100934885	305323.237623088	322829.812346026
"BBS9"	55960.4631504044	88381.1232633889	98589.702649042	43537.2545849532	103022.604016587	185874.903667718	119077.01776363	237269.862182438	123384.995479137	251572.775095701	251943.301502615	238448.263099417	314641.216024756	344184.010266326	327563.92324809	348840.038804337
"BBX"	88519.1906476393	74683.8136576116	88863.185653463	92863.6871743947	135581.264225766	270325.095113367	226799.024222419	135902.164736763	144042.251864448	113475.662469864	253543.189167976	250686.568953097	384125.449531712	300870.458688587	322762.144124135	395941.871148534
"BCAM"	958.71021039784	4121.68125621974	38890.2871636674	15715.8034387976	245978.784654289	194271.961180493	169009.537016973	236019.113939255	294819.27677989	195110.471080989	212940.940074623	269451.65055804	394085.131771863	378253.200673498	349966.416391544	378551.770420745
"BCAN"	63756.439043209	93341.2222657353	52501.2572994456	34441.0808291286	128296.011639759	239007.56421499	193387.983553112	171949.710976332	238732.46172443	138637.714087963	219738.877797499	117036.44101508	355996.854300611	341640.575532801	312036.011298187	331914.775306359
"BCAP29"	24845.5800814554	49537.6899372786	21345.8189507946	75412.4911967665	175094.001879916	296388.196200132	251441.665878519	142600.635020062	175698.496727273	208411.678718403	106384.091218933	230555.54474704	343333.152099513	319769.258634187	394344.783271663	322791.407257318
"BCAP31"	45677.3445243016	69587.4601835385	28245.3954219818	98105.3368421271	284292.954718694	160331.687657163	196706.087281927	149782.709218562	184952.798159793	115289.938542992	234004.140319303	298462.931718677	336327.198939398	305055.873747915	302883.392502554	307162.374793552
"BCAR1"	55640.5986892059	42490.8603541553	75951.0318515822	55050.4619488493	237478.344654664	123384.127998725	146938.042435795	258288.622740656	183908.057399094	109533.832082525	217934.754816815	146511.120721698	390018.35747622	397324.416856281	387055.616686121	329090.366582386
"BCAR3"	4554.80171367526	13508.4855835885	72924.3600741029	64494.0676167607	118504.116591066	193831.010116264	287689.020298421	100354.010425508	183510.427782312	245820.66340372	148521.82418108	229084.723908454	319361.696392298	316045.241709799	343451.563222334	351606.722618453
"BCAR4"	35318.3915605769	89155.4219648242	41355.6925719604	83948.8842291757	183600.454870611	142725.043045357	119974.898779765	125850.310642272	209657.82739222	215560.638019815	102291.619079188	249119.350779802	310982.441902161	389609.106909484	301530.000288039	333208.895032294
"BCAS1"	72470.1959639788	37708.9125104249	55924.3335621431	12378.9921635762	214146.033860743	213049.069745466	188981.351349503	186558.361584321	283865.465782583	258986.355317757	297947.789402679	179287.151666358	341706.012678333	344467.788329348	339458.29262957	302407.707925886
"BCAS2"	6335.93900129199	50947.9654952884	14317.0520663261	96576.6998240724	278900.354448706	292333.141388372	128853.887878358	226210.76637879	223449.256597087	260625.353548676	201468.52992475	205247.697699815	353598.730172962	364676.822721958	347879.499499686	363201.550091617
"BCAS3"	70395.4675467685	83147.0568431541	94097.176939249	43738.0780931562	158117.452031001	212869.598902762	283198.899123818	217941.111838445	139548.846706748	231278.240075335	234531.763987616	283175.584394485	314041.872392409	336835.275380872	390615.193452686	356892.370525748
"BCAS4"	63902.7673983946	92771.2927572429	28666.7906912044	12289.9099718779	194007.721263915	277185.196056962	179321.199469268	104859.577538446	239702.514884993	188242.656504735	251586.695807055	164932.210138068	339551.253640093	382665.327494033	375749.199348502	390837.424853817
"BCAT1"	83871.1578166112	70107.9830294475	43425.4067018628	65339.4806198776	206389.886792749	157641.070988029	242906.335089356	257094.995863736	245951.056946069	284806.562028825	202603.449113667	257604.781538248	312141.9982519	325416.996167041	359315.495123155	303584.775864147
"BCAT2"	46487.8784259781	18124.8723296449	1554.02747914195	38118.6482030898	121420.588484034	232714.805100113	142015.94456099	180246.369726956	186634.099902585	214015.505230054	114414.985384792	202598.142717034	374246.223876253	396397.265698761	317200.482310727	314862.647629343
"BCCIP"	7327.0634515211	63498.5445532948	21599.7067978606	15193.3491230011	183907.975070179	115757.458982989	272800.250165164	205452.782148495	242235.358804464	193314.161896706	110470.490530133	171529.385400936	365550.004295073	371731.176017784	304238.529619761	384885.433525778
"BCDIN3D"	79898.0449791998	28589.959978126	16729.6970263124	536.882970482111	157662.778673694	272555.350605398	257599.287200719	236357.031622902	210547.831188887	205487.673170865	211625.52931346	101335.235033184	386018.143780529	386366.247362457	399488.794710487	304573.084949516
"BCDIN3D-AS1"	93303.2232569531	46755.2279587835	12505.6989258155	22510.2144759148	183331.329049543	244608.12699981	138626.889092848	233509.402070194	274159.834953025	238999.000843614	174098.894838244	102276.248391718	316043.53566654	365757.963969372	355839.903349988	386045.773257501
"BCHE"	52727.2252365947	194.54990979284	1307.74336867034	80877.4315053597	161317.279888317	225887.114042416	268068.18828918	290214.258432388	193285.131594166	201914.5490136	140416.233893484	126584.854815155	300646.286760457	329699.195874855	313967.870385386	318635.532120243
"BCKDHA"	84507.5003569946	36111.5589505062	86068.4430925176	90437.6268852502	178134.672250599	204254.141496494	111761.873634532	246973.282517865	101665.861997753	263659.145496786	289288.29152137	103172.206552699	336022.168630734	336720.42360995	370237.246528268	353042.773925699
"BCKDHB"	41418.5966830701	34299.49444253	46722.425846383	82350.6108019501	244300.227053463	169957.530731335	114682.079898193	237581.807514653	163134.099403396	216646.398091689	130153.394816443	292210.630699992	378471.814212389	322223.389428109	378517.930372618	335335.547872819
"BCKDK"	40592.129365541	97702.2581035271	772.521062754095	28388.2828196511	192197.502125055	103209.17298086	253405.639296398	111879.984522238	250007.638148963	180200.410494581	160856.959456578	205528.125865385	342532.864725217	365341.787296347	335222.025681287	372031.351667829
"BCL10"	25654.8326928169	71397.2651632503	18729.3224735186	97941.7211608961	127759.434608743	298887.436790392	160867.220908403	277806.658204645	117437.274334952	135905.552003533	103428.936842829	112838.50306645	399592.725769617	329220.544639975	356970.656849444	302969.564381056
"BCL11A"	77790.6054165214	24152.339505963	34473.5947903246	70916.5978012607	194177.794177085	220907.31067583	105730.10854423	264559.020800516	263991.130562499	282180.265476927	139955.696649849	293621.687730774	398805.168666877	310658.449423499	317136.868555099	304711.385420524
"BCL11B"	16331.3515018672	95890.7093852758	70101.2941543013	42344.4638028741	180070.113250986	231904.445122927	288128.955895081	280946.735525504	175518.977222964	158577.661495656	126178.076583892	114156.216289848	318552.816938609	387795.753194951	301861.903094687	365833.747270517
"BCL2"	11319.2944554612	63802.5174615905	13040.8065393567	60530.1536852494	146292.218705639	263256.2674582	152422.661380842	192288.195947185	158020.133571699	275260.566733778	232966.350065544	188774.60649237	304301.472450607	316736.071021296	395576.886250637	343981.477268972
"BCL2A1"	85281.4471116289	85202.6543812826	98192.1253027394	23380.8594057336	290445.311553776	294952.929997817	153418.187750503	217015.580553561	254593.495326117	297796.670114622	271129.864966497	117467.929981649	346368.60229075	380982.744274661	322112.911660224	340412.775147706
"BCL2L1"	14374.9518319964	81258.0293277279	82858.5005132481	17924.2086596787	257365.331798792	197941.686492413	150514.594372362	116691.585397348	226608.449174091	289594.312710688	220185.978431255	180543.964309618	385602.932190523	352231.841697358	318720.391741954	378574.673016556
"BCL2L10"	37024.9364990741	4336.37604583055	34907.7821243554	67000.2601109445	295360.032469034	249238.123232499	135880.042240024	154625.204764307	176812.67359294	222205.812111497	233652.950171381	120153.921889141	367403.640272096	398823.382728733	359725.6985493	326678.630034439
"BCL2L11"	96309.6003513783	32962.9607265815	31693.4419097379	83596.4638041332	196985.99264957	225818.252097815	293834.882183	233225.427009165	293802.936840802	205455.27045615	211684.401752427	264271.439891309	347524.422383867	306902.300543152	385406.002099626	304525.983193889
"BCL2L12"	69387.2321862727	37050.6508508697	9430.61576690525	24199.8643381521	263424.426224083	230974.536947906	169285.712856799	218489.725701511	188883.584784344	202723.06422703	282807.10731633	181480.984203517	341326.70594845	325078.717176802	364064.859156497	377542.159287259
"BCL2L13"	52785.4545973241	9879.65727690607	14055.8770624921	31841.3185654208	181173.926172778	296044.054627419	246093.213325366	185652.074404061	282081.764051691	206488.711433485	273152.479995042	161293.883202597	351360.629219562	358811.071887612	362208.52364786	338749.217125587
"BCL2L14"	90024.8009245843	84822.6446425542	2372.52267543226	59710.3765700012	236606.760835275	188123.85299243	158458.224637434	298457.203153521	150731.549086049	110286.075109616	253547.992650419	286936.055310071	345230.695535429	346978.607820347	333677.673200145	355374.017450958
"BCL2L15"	1423.60650934279	31929.3698528782	53444.3026408553	36180.2865285426	102002.122951671	172566.562797874	121149.853989482	172035.871772096	180039.96303305	166762.52419129	144827.474001795	107103.568455204	309346.290584654	398895.268468186	323261.345503852	346991.245914251
"BCL2L2"	24752.1049110219	9280.85574414581	45875.4955790937	17106.8018535152	229787.558643147	167843.147646636	291704.237274826	246056.942874566	277365.477290004	267079.362692311	194889.747258276	272988.975141197	390361.704537645	371965.459315106	385508.829727769	340245.851431973
"BCL2L2-PABPN1"	43287.519342266	4919.28504779935	91993.5069512576	16114.2621189356	105655.784253031	282756.840623915	174657.131265849	245463.169226423	279914.28389214	123253.533104435	270845.938287675	231056.616734713	316790.689760819	352844.347408973	341824.099887162	318030.956527218
"BCL3"	55234.6086828038	67741.5366284549	31337.4978024513	5176.5084033832	132169.142272323	103214.350016788	203665.614081547	192186.65654771	196226.462488994	200824.19551909	298892.247583717	297768.243122846	363106.667832471	333255.662792362	348785.865632817	331896.331859753
"BCL6"	19711.1696703359	82267.1814821661	1042.34609752893	71387.5429704785	299270.996777341	236898.727854714	251943.916454911	205494.963563979	210971.070593223	165854.539209977	140214.570844546	203074.811492115	319390.001054853	328846.857510507	329892.725520767	334166.213753633
"BCL6B"	91370.9443528205	70061.5970883518	33852.7422631159	75586.8311272934	103948.699031025	124666.841188446	111947.607249022	100234.678247944	297609.616164118	142545.56261003	243456.577323377	175746.614858508	376819.682703353	392350.371275097	351208.393485285	374241.763353348
"BCL7A"	60792.681761086	82337.7998778597	36156.4624821767	10987.63034679	100273.282779381	152728.215232491	236935.398215428	163001.058762893	259960.883902386	259783.25791657	258365.88521488	195421.712752432	345918.776770122	358421.453949995	315399.436466396	344489.712291397
"BCL7B"	35168.0043153465	67345.1645066962	62200.1732233912	53701.4740984887	201236.32568866	226620.208285749	271804.110659286	194581.394968554	235132.160643116	243675.837758929	278835.113206878	221433.922182769	382508.608931676	324250.420369208	390996.134304442	395096.828974783
"BCL7C"	78622.8155950084	10198.9621995017	12398.8046776503	53077.6254367083	217893.453966826	118148.129340261	228029.302600771	168363.512400538	134915.654314682	167953.35165225	295461.060060188	185146.702546626	310145.43143101	351465.891348198	342524.952907115	365523.078246042
"BCL9"	95259.4136353582	11139.2630031332	54366.9530190527	69916.4252961054	114184.198249131	155170.658836141	123166.243033484	200219.70178932	215378.74690257	241432.523075491	151298.391632736	213053.973438218	383529.832377099	300281.260721385	378220.772440545	382487.040990964
"BCL9L"	8367.64911655337	3028.80636882037	85358.7518213317	40733.1944908947	290101.731009781	285176.684521139	151503.48097086	209002.940170467	206296.325474977	279486.119933426	211052.653938532	245475.61891377	380037.450394593	300982.496817596	307777.467253618	374230.664339848
"BCLAF1"	26840.4808128253	45672.306092456	49702.177895233	48580.9586010873	255942.165944725	263025.472918525	205959.675088525	230182.32411705	118357.007112354	195572.966430336	214782.323502004	157604.239368811	366421.113698743	378834.104095586	311061.227601022	316208.319086581
"BCMO1"	79130.9749474749	98851.1225907132	5872.41158355027	85157.3564810678	146299.862954766	272726.943856105	232885.188888758	135996.391391382	241776.7459061	288074.194127694	104350.967193022	157946.644676849	353104.490903206	364839.639258571	367677.090410143	386333.948140964
"BCO2"	88425.5879791453	19759.1862408444	28336.1004199833	90236.6481022909	128226.70605965	207157.655805349	240998.752228916	134101.072466001	202005.600463599	234962.05508709	256970.162456855	274057.092890143	305858.077784069	303802.388370968	363158.03907346	322502.382122912
"BCOR"	52039.8480119184	8943.49918235093	93656.2889022753	64900.4691746086	196541.802259162	245972.001831979	161972.828721628	130619.371449575	208042.188594118	216817.436553538	155613.777367398	257410.946907476	351237.609493546	319511.396950111	391128.391702659	312118.044937961
"BCORL1"	45582.1057781577	37346.6619523242	58048.6804014072	46649.6100649238	292942.521302029	284848.138969392	243515.837192535	207518.002809957	280037.563014776	167817.886685953	164188.010152429	149495.784752071	354038.601205684	393691.981071606	384294.165903702	378131.230850704
"BCORP1"	24961.1171195284	14144.1515646875	85861.5582576022	65742.3434080556	234206.664003432	148917.983705178	126188.43712844	157506.079925224	181819.107756019	167674.182495102	228992.718691006	101338.659599423	313581.486837938	345144.427893683	371537.464926951	341882.742545567
"BCR"	83331.5527997911	16178.949479945	77937.5809477642	47448.5357990488	220098.891295493	244944.819808006	276261.553959921	108661.373378709	207884.704461321	133752.335840836	255445.399694145	241063.840594143	310513.712815009	330246.373149566	337503.359443508	370361.722563393
"BCRP2"	33353.2539661974	53471.1943473667	77624.0588631481	18022.3004892468	273648.652574047	226347.315404564	172954.4010479	204436.620837077	101605.413202196	279680.335102603	192301.624640822	230019.404366612	364987.476542592	322013.074113056	390831.048320979	314874.862506986
"BCRP3"	88888.7384906411	66074.0567371249	67978.5074898973	72842.0021478087	238133.36729072	253194.719646126	168449.764978141	217746.112123132	139507.67563656	219725.243048742	201727.360067889	198778.709210455	368056.764756329	384611.392905936	364861.029898748	353093.831893057
"BCS1L"	21762.8498794511	74997.8015199304	98482.4118670076	60032.5793493539	221813.5306146	112184.499995783	142227.735649794	182879.807334393	238303.223159164	120135.099161416	145687.136892229	174014.817224815	343430.674425326	368407.263071276	320141.195412725	391254.594549537
"BCYRN1"	31250.7527181879	37423.1036519632	48157.2373071685	69272.0333114266	167329.657962546	140351.851098239	114368.362817913	251994.912000373	293700.363440439	206517.053255811	240168.247884139	276907.150587067	368142.614979297	388492.433913052	326514.571229927	350875.67246519
"BDH1"	91116.3272568956	66867.6898116246	63684.8818510771	40505.5715469643	137880.892073736	179448.062786832	280057.470826432	293980.254791677	139364.560553804	220103.102969006	228561.078058556	151688.621519133	374663.88985049	397651.140904054	365005.756448954	344819.778832607
"BDH2"	76688.6615892872	97264.4930472597	26826.3264093548	23025.6014037877	171671.407856047	183455.92613332	243472.676491365	179600.95340386	278369.511989877	158206.028910354	116201.605927199	215790.790505707	389257.744769566	350776.483188383	321167.876617983	376938.959117979
"BDKRB1"	86395.1912848279	50823.7979607657	32769.8064036667	20971.470978111	112768.328562379	261335.884127766	268036.312004551	121476.005017757	228877.133689821	168827.425409108	179670.406365767	260696.870507672	318532.404233702	388544.859969988	362245.376827195	390082.436916418
"BDKRB2"	43558.6739331484	50543.2249745354	74021.6180915013	75995.141081512	117589.77281861	150026.412121952	230041.32756032	145902.373455465	246544.332243502	180216.22817032	251909.790886566	225671.446043998	359581.750142388	337643.490452319	389543.555513956	322443.463513628
"BDNF"	1735.51163170487	6858.91662724316	32807.7442711219	23857.9367753118	169861.538475379	218644.685810432	293062.978284433	166969.987098128	220034.073106945	264803.813071921	120970.470504835	127372.759440914	361421.562195756	348148.4194519	351631.41975645	338306.059222668
